Iteration	Replicate_ID	Posterior	Likelihood	Prior	clock_time	TL	tmrca_Holocephalans_A	tmrca_Holocephalans_B
299	1	-2689.28	-2519.58	-169.7	2.160374	887.8792	443	0
300	0	-1964.97	-1799.01	-165.964	1.044116	887.1685	0.1408717	0.13551
301	1	-2683.86	-2514.16	-169.7	2.160374	887.8588	443	0
302	0	-1970.76	-1804.79	-165.964	1.044116	887.2668	0.1357989	0.13551
303	1	-2681.58	-2511.88	-169.7	2.160374	887.8489	443	0
304	0	-1966.79	-1800.82	-165.964	1.044116	887.3158	0.1325732	0.13551
305	1	-2689.8	-2520.1	-169.7	2.160374	887.9138	443	0
306	0	-1966.1	-1800.14	-165.964	1.044116	887.3224	0.1464227	0.13551
307	1	-2681.22	-2511.52	-169.7	2.160374	887.9475	443	0
308	0	-1964.09	-1798.13	-165.964	1.044116	887.2407	0.1384357	0.13551
309	1	-2683.27	-2513.57	-169.7	2.160374	887.8037	443	0
310	0	-1965	-1799.04	-165.964	1.044116	887.1994	0.1396186	0.13551
311	1	-2681.6	-2511.9	-169.7	2.160374	887.8658	443	0
312	0	-1965.77	-1799.81	-165.964	1.044116	887.2452	0.142547	0.13551
313	1	-2681.13	-2511.43	-169.7	2.160374	887.882	443	0
314	0	-1969.58	-1803.62	-165.964	1.044116	887.2897	0.1445044	0.13551
315	1	-2683.51	-2513.81	-169.7	2.160374	887.9838	443	0
316	0	-1970.63	-1804.67	-165.964	1.044116	887.2791	0.1490181	0.13551
317	1	-2684.67	-2514.97	-169.7	2.160374	888.0435	443	0
318	0	-1974.97	-1809.01	-165.964	1.044116	887.2404	0.1456742	0.13551
319	1	-2682.08	-2512.38	-169.7	2.160374	887.9685	443	0
320	0	-1967.57	-1801.6	-165.964	1.044116	887.1633	0.1425483	0.13551
321	1	-2683.06	-2513.36	-169.7	2.160374	888.0169	443	0
322	0	-1969.35	-1803.38	-165.964	1.044116	887.1497	0.1401221	0.13551
323	1	-2683.39	-2513.69	-169.7	2.160374	887.9463	443	0
324	0	-1969.93	-1803.97	-165.964	1.044116	887.2195	0.1585404	0.13551
325	1	-2684.81	-2515.11	-169.7	2.160374	888.0039	443	0
326	0	-1971.27	-1805.3	-165.964	1.044116	887.287	0.1492843	0.13551
327	1	-2688.49	-2518.79	-169.7	2.160374	888.0441	443	0
328	0	-1965.35	-1799.39	-165.964	1.044116	887.1433	0.1316007	0.13551
329	1	-2687.76	-2518.06	-169.7	2.160374	888.0109	443	0
330	0	-1969.28	-1803.31	-165.964	1.044116	887.347	0.1496042	0.13551
331	1	-2686.5	-2516.8	-169.7	2.160374	888.041	443	0
332	0	-1971.28	-1805.32	-165.964	1.044116	887.3222	0.1296441	0.13551
333	1	-2686.74	-2517.04	-169.7	2.160374	888.0553	443	0
334	0	-1972.23	-1806.26	-165.964	1.044116	887.3949	0.1450644	0.13551
335	1	-2686.34	-2516.64	-169.7	2.160374	888.0247	443	0
336	0	-1964.63	-1798.66	-165.964	1.044116	887.2723	0.1349384	0.13551
337	1	-2684.08	-2514.38	-169.7	2.160374	887.9949	443	0
338	0	-1963.98	-1798.01	-165.964	1.044116	887.2574	0.1416128	0.13551
339	1	-2681.41	-2511.71	-169.7	2.160374	888.0348	443	0
