Iteration	Posterior	Likelihood	Prior	birth_rate	clock_rate	death_rate	denom	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	root_time	sf[1]	sf[2]	sf[3]	sf[4]	tmrca_Ursidae	turnover
930	-2013.71	-1982.37	-31.3479	0.2807875	0.0001806277	0.04762487	0.8303882	0.2331627	0.00283127	0.175096	0.27464	0.101296	0.438187	0.00795007	56.89269	0.201601	0.317485	0.300597	0.180317	56.89269	0.1696118
940	-2010.22	-1982.42	-27.8036	0.4174711	0.0001480104	0.1894699	0.5461484	0.2280012	0.0274288	0.279198	0.0934031	0.16152	0.428865	0.00958581	47.08174	0.19991	0.327222	0.300905	0.171964	47.08174	0.4538516
950	-2006.51	-1978.01	-28.5056	0.6545833	0.0001643202	0.4840714	0.2604892	0.1705119	0.0325467	0.307334	0.0799014	0.0903633	0.472083	0.0177722	45.94368	0.177808	0.329733	0.318748	0.17371	45.94368	0.7395108
960	-2009.29	-1981.2	-28.0854	0.4382904	0.0001642911	0.2988752	0.3180887	0.1394152	0.0159125	0.221458	0.112978	0.0960599	0.531602	0.0219897	47.43605	0.172455	0.329543	0.312455	0.185546	47.43605	0.6819113
970	-2010.5	-1982.88	-27.6187	0.2708639	0.0002447783	0.06876818	0.7461154	0.2020957	0.033011	0.227692	0.0900411	0.0613087	0.540625	0.0473226	46.68982	0.183669	0.311351	0.321652	0.183329	46.68982	0.2538846
980	-2013.88	-1986.29	-27.5898	0.4024817	0.0002056194	0.1721949	0.5721671	0.2302868	0.0181139	0.23725	0.179881	0.103632	0.426247	0.034876	49.22177	0.205782	0.293988	0.315121	0.185109	49.22177	0.4278329
990	-2008.29	-1978.78	-29.5099	0.2560167	0.0001340624	0.1005188	0.6073741	0.1554979	0.0118758	0.332048	0.117688	0.0394933	0.488479	0.0104151	44.98545	0.194821	0.333711	0.314602	0.156866	44.98545	0.3926259
1000	-2004.41	-1975.83	-28.5743	0.266228	0.0001958759	0.0994608	0.6264075	0.1667672	0.00920236	0.349482	0.112998	0.0251893	0.469009	0.0341203	46.21104	0.186514	0.333353	0.31069	0.169443	46.21104	0.3735925
1010	-2016.55	-1987.7	-28.8555	0.2036757	0.000316866	0.04289987	0.7893717	0.1607759	0.0100167	0.488146	0.133585	0.0572104	0.279047	0.0319956	46.11278	0.194461	0.341164	0.294437	0.169938	46.11278	0.2106283
1020	-2017.81	-1987.16	-30.6488	0.272282	0.0001953583	0.0678699	0.7507368	0.2044121	0.0265682	0.403431	0.256767	0.0662556	0.223841	0.023137	44.28398	0.209029	0.312643	0.30492	0.173408	44.28398	0.2492632
1030	-2013.79	-1981.65	-32.1361	1.332269	0.0001789199	1.190585	0.1063475	0.1416835	0.0172212	0.401961	0.0643617	0.0672109	0.446511	0.00273412	45.8132	0.192482	0.308496	0.32531	0.173712	45.8132	0.8936525
1040	-2017.9	-1987.45	-30.4551	0.06344153	0.0001653118	0.04404272	0.3057746	0.01939881	0.00238149	0.624483	0.149601	0.0239745	0.199121	0.000439397	49.42192	0.200612	0.315418	0.304052	0.179917	49.42192	0.6942254
1050	-2012.85	-1980.34	-32.5149	0.08052896	0.000117189	0.03600175	0.5529341	0.04452721	0.00366215	0.569351	0.0858911	0.0368669	0.300715	0.0035132	51.8757	0.181835	0.319384	0.318147	0.180635	51.8757	0.4470659
